sample_id,text_type,label,attack_percentage,snr
610,paraphrased,1,0.1,1.8322243613389808
611,mixed_text,1,0.1,1.972981968811636
612,human_baseline,0,0.1,1.4146296686068265
613,original_ai,1,0.1,1.5214637100669328
614,translated,1,0.1,1.691768808072169
615,substituted,1,0.1,1.2317899632980116
616,paraphrased,1,0.1,0.7827165378074913
617,mixed_text,1,0.1,1.190530897410807
618,human_baseline,0,0.1,1.4505072007608943
619,original_ai,1,0.1,1.8638231527415052
620,translated,1,0.1,1.963808860033968
621,substituted,1,0.1,1.81422040941996
622,paraphrased,1,0.1,1.1706207623447116
623,mixed_text,1,0.1,1.7734579855631472
624,human_baseline,0,0.1,0.8159269826799734
625,original_ai,1,0.1,2.298712108477241
626,translated,1,0.1,1.4470197655382926
627,substituted,1,0.1,2.073334375942031
628,paraphrased,1,0.1,1.56290693696728
629,mixed_text,1,0.1,1.624272831557116
630,human_baseline,0,0.1,1.0174699323699508
631,original_ai,1,0.1,1.415723112271604
632,translated,1,0.1,1.5771182293608004
633,substituted,1,0.1,1.0870339311732913
634,paraphrased,1,0.1,1.5253672579344093
635,mixed_text,1,0.1,2.11109198207397
636,human_baseline,0,0.1,0.974753016302654
637,original_ai,1,0.1,1.472980732036627
638,translated,1,0.1,1.55084225051737
639,substituted,1,0.1,1.324684083905139
640,paraphrased,1,0.1,1.3260841691265035
